"ID";"RegioS";"Perioden";"PrijsindexVerkoopprijzen_1";"OntwikkelingTOVVoorgaandePeriode_2";"OntwikkelingTOVEenJaarEerder_3";"VerkochteWoningen_4";"OntwikkelingTOVVoorgaandePeriode_5";"OntwikkelingTOVEenJaarEerder_6";"GemiddeldeVerkoopprijs_7";"TotaleWaardeVerkoopprijzen_8"
"2421";"GM0363";"2016JJ00";"   113.5";"    13.5";"    13.5";"   12415";"    -0.6";"    -0.6";"  358976";"    4457"
"2426";"GM0363";"2017JJ00";"   129.5";"    14.0";"    14.0";"   11286";"    -9.1";"    -9.1";"  407670";"    4601"
"2431";"GM0363";"2018JJ00";"   145.9";"    12.7";"    12.7";"    9754";"   -13.6";"   -13.6";"  460705";"    4494"
"2436";"GM0363";"2019JJ00";"   154.3";"     5.7";"     5.7";"    9947";"     2.0";"     2.0";"  484995";"    4824"
"2441";"GM0363";"2020JJ00";"   161.6";"     4.7";"     4.7";"   10462";"     5.2";"     5.2";"  510919";"    5345"
"2446";"GM0363";"2021JJ00";"   180.2";"    11.5";"    11.5";"   11313";"     8.1";"     8.1";"  569890";"    6447"
"2557";"GM0518";"2016JJ00";"   108.3";"     8.3";"     8.3";"    7293";"    18.7";"    18.7";"  244849";"    1786"
"2562";"GM0518";"2017JJ00";"   120.3";"    11.1";"    11.1";"    8103";"    11.1";"    11.1";"  266672";"    2161"
"2567";"GM0518";"2018JJ00";"   135.4";"    12.5";"    12.5";"    6936";"   -14.4";"   -14.4";"  304889";"    2115"
"2572";"GM0518";"2019JJ00";"   146.1";"     8.0";"     8.0";"    6735";"    -2.9";"    -2.9";"  324838";"    2188"
"2577";"GM0518";"2020JJ00";"   157.1";"     7.5";"     7.5";"    7308";"     8.5";"     8.5";"  355807";"    2600"
"2582";"GM0518";"2021JJ00";"   179.9";"    14.5";"    14.5";"    6875";"    -5.9";"    -5.9";"  411718";"    2831"
"2693";"GM0599";"2016JJ00";"   107.1";"     7.1";"     7.1";"    7664";"    24.3";"    24.3";"  202501";"    1552"
"2698";"GM0599";"2017JJ00";"   121.0";"    13.0";"    13.0";"    8278";"     8.0";"     8.0";"  227834";"    1886"
"2703";"GM0599";"2018JJ00";"   138.6";"    14.5";"    14.5";"    7180";"   -13.3";"   -13.3";"  256784";"    1844"
"2708";"GM0599";"2019JJ00";"   149.9";"     8.2";"     8.2";"    6679";"    -7.0";"    -7.0";"  282910";"    1890"
"2713";"GM0599";"2020JJ00";"   162.6";"     8.5";"     8.5";"    7189";"     7.6";"     7.6";"  307358";"    2210"
"2718";"GM0599";"2021JJ00";"   185.3";"    14.0";"    14.0";"    6886";"    -4.2";"    -4.2";"  364018";"    2507"
"2829";"GM0344";"2016JJ00";"   109.8";"     9.8";"     9.8";"    5531";"    16.4";"    16.4";"  267618";"    1480"
"2834";"GM0344";"2017JJ00";"   122.9";"    11.9";"    11.9";"    5358";"    -3.1";"    -3.1";"  307737";"    1649"
"2839";"GM0344";"2018JJ00";"   136.7";"    11.2";"    11.2";"    4636";"   -13.5";"   -13.5";"  344015";"    1595"
"2844";"GM0344";"2019JJ00";"   149.3";"     9.2";"     9.2";"    4762";"     2.7";"     2.7";"  379770";"    1808"
"2849";"GM0344";"2020JJ00";"   163.3";"     9.4";"     9.4";"    4839";"     1.6";"     1.6";"  405791";"    1964"
"2854";"GM0344";"2021JJ00";"   189.5";"    16.0";"    16.0";"    4823";"    -0.3";"    -0.3";"  469949";"    2267"
